Anatomy and Cell Biology Major (B.Sc.) (67 credits),ANAT 212,ANAT 214,ANAT 261,ANAT 262,BIOL 200,BIOL 202,BIOL 301,CHEM 212,CHEM 222,MIMM 214,PHGY 209,PHGY 210,BIOL 373,MATH 203,PSYC 204,ANAT 314,ANAT 321,ANAT 322,ANAT 365,ANAT 381,ANAT 416,ANAT 458,ANAT 514,ANAT 541,ANAT 565,NEUR 310,ANAT 314,ANAT 321,ANAT 322,ANAT 365,ANAT 381,ANAT 416,ANAT 458,ANAT 541,ANAT 565,BIOC 311,BIOC 312,BIOC 450,BIOC 458,BIOC 503,BIOL 300,BIOL 303,BIOL 306,BIOL 313,BIOL 314,BIOL 320,BIOL 518,BIOL 520,BIOL 524,BIOL 532,BIOL 544,BIOL 546,BIOL 551,BIOL 588,BIOT 505,COMP 204,EXMD 401,EXMD 502,EXMD 503,EXMD 504,EXMD 506,EXMD 507,EXMD 508,HGEN 575,MIMM 314,MIMM 323,MIMM 324,MIMM 387,MIMM 413,MIMM 414,MIMM 465,MIMM 466,MIMM 509,NEUR 310,PATH 300,PHAR 300,PHAR 301,PHAR 303,PHAR 562,PHAR 563,PHGY 311,PHGY 312,PHGY 313,PHGY 314,PHGY 451,PHGY 502,PHGY 513,PHGY 515,PHGY 516,PHGY 518,PHGY 556,PSYT 500
Anatomy and Cell Biology Liberal Program - Core Science Component (B.Sc.) (47-48 credits),ANAT 212,ANAT 214,ANAT 261,ANAT 262,BIOL 200,BIOL 202,CHEM 212,PHGY 209,PHGY 210,MATH 203,PSYC 204,ANAT 314,ANAT 321,ANAT 322,ANAT 365,ANAT 381,ANAT 514,ANAT 565,NEUR 310,ANAT 314,ANAT 321,ANAT 322,ANAT 365,ANAT 381,ANAT 565,BIOL 300,BIOL 301,BIOL 303,BIOL 306,BIOL 313,BIOL 314,BIOL 320,COMP 204,EXMD 504,NEUR 310,NEUR 502,PATH 300,PHAR 300,PHAR 301
Anatomy and Cell Biology Honours (B.Sc.) (73 credits),ANAT 212,ANAT 214,ANAT 261,ANAT 262,ANAT 432,BIOL 200,BIOL 202,BIOL 301,CHEM 212,CHEM 222,MIMM 214,PHGY 209,PHGY 210,BIOL 373,MATH 203,PSYC 204,ANAT 314,ANAT 321,ANAT 322,ANAT 323,ANAT 365,ANAT 381,ANAT 416,ANAT 458,ANAT 514,ANAT 541,ANAT 542,ANAT 565,NEUR 310,ANAT 314,ANAT 321,ANAT 322,ANAT 323,ANAT 365,ANAT 381,ANAT 416,ANAT 458,ANAT 541,ANAT 542,ANAT 565,BIOC 311,BIOC 312,BIOC 450,BIOC 458,BIOC 503,BIOL 300,BIOL 303,BIOL 306,BIOL 313,BIOL 314,BIOL 320,BIOL 518,BIOL 520,BIOL 524,BIOL 532,BIOL 544,BIOL 546,BIOL 551,BIOL 588,BIOT 505,COMP 204,EXMD 401,EXMD 502,EXMD 503,EXMD 504,EXMD 506,EXMD 507,EXMD 508,HGEN 575,MIMM 314,MIMM 323,MIMM 324,MIMM 387,MIMM 413,MIMM 414,MIMM 465,MIMM 466,MIMM 509,NEUR 310,NEUR 502,PATH 300,PHAR 300,PHAR 301,PHAR 303,PHAR 562,PHAR 563,PHGY 311,PHGY 312,PHGY 313,PHGY 314,PHGY 451,PHGY 502,PHGY 513,PHGY 515,PHGY 516,PHGY 518,PHGY 556,PSYT 500
Atmospheric Science Minor (B.Sc.) (18 credits),ATOC 214,ATOC 215,ATOC 219,ATOC 309,ATOC 312,ATOC 315,ATOC 357,ATOC 404,CHEM 219,PHYS 404,ATOC 512,ATOC 513,ATOC 515,ATOC 517,ATOC 519,ATOC 521,ATOC 525,ATOC 531,ATOC 540,ATOC 548,ATOC 557,ATOC 558,ATOC 568
Atmospheric and Oceanic Sciences Liberal Program - Core Science Component (B.Sc.) (48 credits),ATOC 214,ATOC 312,ATOC 315,MATH 222,MATH 223,MATH 314,MATH 315,ATOC 215,ATOC 219,ATOC 357,PHYS 257,PHYS 230,PHYS 251,PHYS 232,PHYS 253,ATOC 309,ATOC 512,ATOC 513,ATOC 515,ATOC 517,ATOC 519,ATOC 521,ATOC 525,ATOC 531,ATOC 540,ATOC 541,ATOC 546,ATOC 548,ATOC 557,ATOC 558,ATOC 568,COMP 208,MATH 203,MATH 319,PHYS 333,PHYS 340
Atmospheric Science Major (B.Sc.) (62 credits),ATOC 214,ATOC 312,ATOC 315,COMP 208,MATH 222,MATH 223,MATH 314,MATH 315,ATOC 215,ATOC 219,CHEM 219,ATOC 357,PHYS 257,PHYS 230,PHYS 251,PHYS 232,PHYS 253,CHEM 213,CHEM 273,CHEM 367,CHEM 575,COMP 551,MATH 203,MATH 317,MATH 319,MATH 323,MATH 324,PHYS 333,PHYS 340,PHYS 342,PHYS 350,PHYS 352,ATOC 309,ATOC 521,ATOC 540,ATOC 541,ATOC 546,ATOC 404,ATOC 512,ATOC 517,ATOC 525,ATOC 531,ATOC 548,ATOC 558,ATOC 568,ESYS 300,ESYS 301,GEOG 322,GEOG 372,MATH 555,PHYS 404,PHYS 432,PHYS 512,ATOC 404,ATOC 531,PHYS 404,ATOC 512,ATOC 513,ATOC 519,ATOC 521,ATOC 525,ATOC 540,ATOC 558,ATOC 568,ESYS 300,ESYS 301,GEOG 322,GEOG 372,MATH 323,PHYS 512,ATOC 309,ATOC 404,ATOC 517,ATOC 519,ATOC 521,CHEM 213,CHEM 273,PHYS 404,PHYS 512,ATOC 309,ATOC 404,ATOC 512,ATOC 513,ATOC 517,ATOC 519,ATOC 521,ATOC 525,ATOC 531,ATOC 540,ATOC 541,ATOC 546,ATOC 548,ATOC 558,ATOC 568,CHEM 367,CHEM 575,ESYS 300,ESYS 301,GEOG 322,GEOG 372,MATH 555,PHYS 404,PHYS 432,PHYS 512
Atmospheric Science and Physics Major (B.Sc.) (67 credits),ATOC 214,ATOC 215,ATOC 309,ATOC 312,ATOC 315,COMP 208,MATH 222,MATH 223,MATH 314,MATH 315,PHYS 230,PHYS 232,PHYS 241,PHYS 257,PHYS 333,PHYS 340,PHYS 342,PHYS 346,ATOC 357,PHYS 258,ATOC 357,ATOC 404,ATOC 480,ATOC 512,ATOC 513,ATOC 515,ATOC 517,ATOC 521,ATOC 525,ATOC 531,ATOC 540,ATOC 541,ATOC 548,ATOC 557,ATOC 558,ATOC 568,COMP 551,PHYS 331,PHYS 339,PHYS 404,PHYS 432,PHYS 434,PHYS 449,PHYS 512
Atmospheric Science Honours (B.Sc.) (75 credits),ATOC 214,ATOC 312,ATOC 315,ATOC 480,COMP 208,MATH 222,MATH 223,MATH 314,MATH 315,ATOC 215,ATOC 219,CHEM 219,ATOC 357,PHYS 257,PHYS 230,PHYS 251,PHYS 232,PHYS 253,CHEM 213,MATH 319,CHEM 273,CHEM 367,CHEM 575,COMP 551,MATH 203,MATH 317,MATH 319,MATH 323,MATH 324,PHYS 333,PHYS 340,PHYS 342,PHYS 350,PHYS 352,ATOC 309,ATOC 512,ATOC 521,ATOC 540,ATOC 541,ATOC 546,ATOC 404,ATOC 513,ATOC 515,ATOC 517,ATOC 525,ATOC 531,ATOC 548,ATOC 557,ATOC 558,ATOC 568,ESYS 300,ESYS 301,MATH 555,PHYS 404,PHYS 432,PHYS 512,ATOC 404,ATOC 512,ATOC 531,MATH 323,MATH 324,PHYS 404,ATOC 513,ATOC 515,ATOC 521,ATOC 525,ATOC 540,ATOC 557,ATOC 558,ATOC 568,ESYS 300,ESYS 301,MATH 423,MATH 555,PHYS 432,PHYS 512,ATOC 309,ATOC 519,ATOC 521,CHEM 213,CHEM 273,ATOC 404,ATOC 512,ATOC 513,ATOC 517,ATOC 519,ATOC 525,ATOC 540,ATOC 557,ATOC 558,CHEM 367,CHEM 575,MATH 423,PHYS 404,PHYS 512,ATOC 309,ATOC 404,ATOC 512,ATOC 513,ATOC 517,ATOC 519,ATOC 521,ATOC 525,ATOC 531,ATOC 540,ATOC 541,ATOC 546,ATOC 548,ATOC 557,ATOC 558,ATOC 568,CHEM 367,CHEM 575,ESYS 300,ESYS 301,MATH 423,MATH 555,PHYS 404,PHYS 432,PHYS 512
Meteorology (Dip.) (30 credits),ATOC 512,ATOC 521,ATOC 531,ATOC 540,ATOC 541,ATOC 309,ATOC 315,ATOC 519,or CHEM 519,ATOC 513,ATOC 515,ATOC 517,ATOC 525,ATOC 548,ATOC 557,MATH 317,MATH 319,MATH 555,PHYS 331,PHYS 340,PHYS 342,PHYS 432
Biochemistry Liberal Program - Core Science Component (B.Sc.) (47 credits),BIOC 212,BIOC 220,BIOL 200,BIOL 202,CHEM 204,CHEM 242,CHEM 252,BIOL 205,MIMM 211,MIMM 214,PHGY 209,PHGY 210,BIOC 311,BIOC 312,BIOC 320,CHEM 302,BIOL 373,CHEM 267,COMP 202,COMP 204,MATH 203,MATH 222,PSYC 204,BIOC 450,BIOC 454
Biochemistry Major (B.Sc.) (64 credits),BIOC 212,BIOC 220,BIOL 200,BIOL 202,CHEM 204,CHEM 242,CHEM 252,BIOL 205,MIMM 211,MIMM 214,PHGY 209,PHGY 210,ANAT 262,BIOC 311,BIOC 312,BIOC 320,CHEM 214,CHEM 302,CHEM 362,BIOL 309,BIOL 373,CHEM 267,COMP 202,COMP 204,MATH 203,MATH 222,PSYC 204,BIOC 450,BIOC 454,BIOC 458,BIOC 470,BIOC 491,BIOC 503,BIOL 300,BIOL 303,BIOL 304,BIOL 313,BIOL 314,CHEM 267,CHEM 482,CHEM 502,CHEM 532,CHEM 552,CHEM 572,EXMD 502,MIMM 324,PHAR 300,PHGY 311
